category,term,value
treatment,ctr,#EEEEEE
treatment,dox,#000000
module_id,R1,#FFD92F
module_id,R2,#8DA0CB
module_id,R3,#FC8D62
module_id,R4,#A6D854
module_id,R5,#E78AC3
module_id,R6,#66C2A5
module_id,BG,snow
denovo_id,R7,#fdc086
denovo_id,R8,#bf5b17
denovo_id,R9,#e5c494
denovo_id,BG,snow
all_mods_id,R1,#FFD92F
all_mods_id,R2,#8DA0CB
all_mods_id,R3,#FC8D62
all_mods_id,R4,#A6D854
all_mods_id,R5,#E78AC3
all_mods_id,R6,#66C2A5
all_mods_id,R7,#fdc086
all_mods_id,R8,#bf5b17
all_mods_id,R9,#e5c494
all_mods_id,BG,snow
condition,WT,#777777
condition,WTm,#32B1BD
condition,MYCN,purple
condition,17q,#00AD67
condition,17qm,#00AC64
condition,17qMYCN,purple
condition,17q1q,orange
condition,17q1qMYCN,magenta
condition_simple,Controls,lightgrey
condition_simple,#NAME?,#ac027e
parental,H7,#af8dc3
parental,H9,#7fbf7b
day,D0,black
day,D3,brown
day,D6,darkslateblue
day,D9,blue
day,D10,purple
day,D12,red
day,D14,salmon
day,D19,orange
day,D28,yellow
stage,psc,black
stage,nmp,brown
stage,D6,darkslateblue
stage,nc,blue
stage,D10,purple
stage,D12,red
stage,sap,salmon
stage,sapm,orange
stage,D28,yellow
