Chromosome,Start,End,Type (NB or hNCC),Gene(s),TF(s),Number of NB cell lines,#cell lines with SE (group I),#cell lines with SE (group II),Median Score over 25 cell lines,"Median score, group I","Median score, group II","Median score, hNCC",FC Score Group I over Group II,Wilcoxon p-value (two sided test),Loadings to PC1,Loadings to PC2,Has 15% overlap with hNCC SEs,Pearson Corr. with gene expression
chr4,174899248,175261401,NB,HAND2|HAND2-AS1|FBXO8|CEP44,HAND2,25,18,3,153301.012,174118.5786,142203.8092,11512.28258,1.224429779,0.356390977,-2.631593024,0.35583259,0,0.77|0.76|0.57|0.52
chr16,85149698,85710051,NB,GSE1|MIR5093|GINS2,,23,18,1,113700.2887,119539.0417,54943.94252,48122.86467,2.175654608,0.006015038,-2.471108664,0.340464474,0,0.68|0.39|0.37
chr3,29287848,29819551,NB,,,25,18,3,96972.23318,90617.71662,107495.3834,63760.21439,0.842991706,0.739849624,-2.344035936,-0.013011761,0,
chr10,80654098,81083951,NB,,,25,18,3,95916.82505,90255.65196,95916.82505,85783.44204,0.94097831,0.669172932,-2.39964719,-0.001318529,1,
chr9,97493798,97991801,NB,,,25,18,3,92848.37471,84729.77046,92848.37471,90450.53289,0.912560621,0.669172932,-2.3919686,-0.105392234,1,
chr6,26096698,26353001,NB,BTN3A2|BTN3A3|BTN3A1,,25,18,3,86142.41879,67718.03203,146402.363,72922.19975,0.462547398,0.016541353,-2.193466438,-0.254131645,1,0.61|0.56|0.51
chr18,52890248,53253359,NB,TCF4,TCF4,24,18,2,84998.10292,90478.40726,63665.32601,33144.27885,1.421156742,0.306766917,-2.210783245,0.147277919,1,0.43
chr4,151001923,151535201,NB,MAB21L2|LRBA,,23,16,3,80812.75224,79197.57351,199196.0902,67988.85806,0.397585984,0.046616541,-2.130315564,-0.36615024,0,0.53|0.52
chr4,140635198,141088301,NB,MAML3,,24,18,3,80007.29106,93349.93828,49076.44063,41829.40718,1.902133429,0.02406015,-2.287568263,0.362745443,1,0.51
chr14,89128248,89513901,NB,EML5|TTC8|KCNK10,,22,18,0,78987.71768,95579.95837,21025.3465,13444.49922,4.545939748,0.001503759,-2.012244002,0.732214123,0,0.77|0.75|0.48
chr17,17565748,17873283,NB,,,25,18,3,78933.81241,59962.06228,116972.3022,62009.83498,0.512617613,0.061654135,-2.133039007,-0.163496097,1,
