SE ID,seqnames,start,end,width,strand,ID,target SYMBOL,target ENSEMBL,target evidence,target main evidence,SE rank,Signature ChIPseq Top10Percent,Signature ChIPseq MaxExposure
SE_1,chr1,2019257,2040537,21281,*,SE_1,PRKCZ,ENSG00000067606,correlation,correlation,234,,MNA-HR
SE_2,chr1,2170879,2237070,66192,*,SE_2,SSU72,ENSG00000160075,HiChIP,HiChIP,1706,MES,MES
SE_3,chr1,2252748,2287289,34542,*,SE_3,RP3-395M20.3,ENSG00000229393,correlation,correlation,808,,MNA-HR
SE_4,chr1,2350900,2417751,66852,*,SE_4,PANK4,ENSG00000157881,correlation,correlation,1737,MNA-HR,MNA-HR
SE_5,chr1,3021698,3046789,25092,*,SE_5,RP11-46F15.2,ENSG00000238260,correlation,correlation,170,,MNA-HR
SE_6,chr1,3101400,3130807,29408,*,SE_6,WRAP73,ENSG00000116213,correlation,correlation,270,,MNA-HR
SE_7,chr1,4527108,4590671,63564,*,SE_7,AJAP1,ENSG00000196581,correlation,correlation,922,,MNA-LR
SE_8,chr1,4742463,4815675,73213,*,SE_8,AJAP1,ENSG00000196581,correlation,correlation,1376,,MNA-HR
SE_9,chr1,5470533,5542732,72200,*,SE_9,NPHP4,ENSG00000131697,correlation,correlation,1345,,MNA-HR
SE_10,chr1,6059687,6067662,7976,*,SE_10,GPR153,ENSG00000158292,correlation,correlation,725,MNA-LR,MNA-LR
SE_11,chr1,6103140,6173011,69872,*,SE_11,ICMT,ENSG00000116237,HiC|correlation,HiC,1640,,MNA-HR
SE_12,chr1,6215436,6233288,17853,*,SE_12,THAP3,ENSG00000041988,correlation,correlation,602,,MNA-HR
SE_13,chr1,7008195,7039518,31324,*,SE_13,ZBTB48,ENSG00000204859,correlation,correlation,761,,MNA-LR
SE_14,chr1,7143442,7215469,72028,*,SE_14,CAMTA1,ENSG00000171735,correlation,correlation,1216,,MNA-HR
SE_15,chr1,7280912,7327047,46136,*,SE_15,TNFRSF25,ENSG00000215788,HiC,HiC,913,,MNA-HR
SE_16,chr1,7339480,7464789,125310,*,SE_16,CAMTA1,ENSG00000171735,correlation,correlation,1750,,MNA-HR
SE_17,chr1,7468355,7723765,255411,*,SE_17,CAMTA1,ENSG00000171735,correlation,correlation,1969,,MNA-HR
SE_18,chr1,9360575,9482818,122244,*,SE_18,MIR34A,ENSG00000207865,correlation,correlation,1319,,MES
SE_19,chr1,9894478,9927645,33168,*,SE_19,TMEM201,ENSG00000188807,correlation,correlation,1111,,MNA-HR
SE_20,chr1,10562552,10622946,60395,*,SE_20,CASZ1,ENSG00000130940,correlation,correlation,1558,MNA-LR,MNA-LR
SE_21,chr1,10657597,10693428,35832,*,SE_21,CASZ1,ENSG00000130940,correlation,correlation,846,,MNA-HR
SE_22,chr1,10706637,10732584,25948,*,SE_22,PEX14,ENSG00000142655,correlation,correlation,1309,MNA-HR,MNA-HR
SE_23,chr1,10803325,10844650,41326,*,SE_23,CASZ1,ENSG00000130940,correlation,correlation,1064,,MNA-HR
SE_24,chr1,10956797,10978598,21802,*,SE_24,CLCN6,ENSG00000011021,HiChIP,HiChIP,1642,MNA-HR,MNA-HR
SE_25,chr1,10994429,11022975,28547,*,SE_25,PEX14,ENSG00000142655,correlation,correlation,1392,MNA-HR,MNA-HR
