SE_id,chrom,chromstart,chromend,overlapping_samples,sample_ids,limma_pval,limma_fdr,signature_genes_within_500k,signature_genes_fantom5_enhancer,neural_crest_SE_overlap
chr10:104387475,chr10,104377950,104397000,2,",SH-EP2,SH-SY5Y",0.479364237,0.627325482,,,ncc
chr10:105525200,chr10,105459700,105590700,5,",700MES,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.053041706,0.137958241,",INA:ADRN:422781",,ncc
chr10:111728750,chr10,111713200,111744300,6,",691MES,691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.454139254,0.606178177,",MXI1:ADRN:223062",",MXI1:ADRN",
chr10:112558950,chr10,112503900,112614000,6,",691MES,700ADRN,711ADRN,717MES,753ADRN,SH-SY5Y",0.584249116,0.718743176,",DUSP5:MES:246276",,
chr10:113975175,chr10,113953950,113996400,5,",691ADRN,700ADRN,711ADRN,753ADRN,SH-SY5Y",0.002631868,0.021029637,,,
chr10:114513600,chr10,114480600,114546600,2,",691MES,717MES",0.001321052,0.014300268,",TCF7L2:MES:163408",,
chr10:118640175,chr10,118622550,118657800,2,",753ADRN,SH-SY5Y",0.034272699,0.100494265,,,
chr10:125834850,chr10,125813550,125856150,3,",700ADRN,711ADRN,SH-SY5Y",0.006584019,0.036968376,,,
chr10:126737250,chr10,126678000,126796500,4,",700ADRN,711ADRN,717MES,753ADRN",0.467390875,0.616510821,,,ncc
chr10:128087100,chr10,128074200,128100000,2,",753ADRN,SH-EP2",0.271087851,0.429502392,,,
chr10:129725925,chr10,129702000,129749850,3,",700ADRN,SH-EP2,SH-SY5Y",0.721486773,0.821871842,,,
chr10:129799575,chr10,129780150,129819000,3,",700ADRN,SH-EP2,SH-SY5Y",0.646281082,0.759631654,,,
chr10:130329900,chr10,130308000,130351800,2,",691ADRN,717MES",0.788265974,0.865894282,,,
chr10:131675700,chr10,131656950,131694450,2,",691ADRN,700ADRN",0.300235772,0.465043666,,,
chr10:131747700,chr10,131724300,131771100,4,",691MES,691ADRN,717MES,SH-SY5Y",0.359550093,0.519176589,,,
